snapshot_time,date,city,readiness,next_24h_risk,next_24h_score,peak,peak_score,peak_date,high_risk_days,alert_severity,alert_issued,target_audience,operator_summary,scenario_enabled,temperature_delta,humidity_delta,wind_delta
2026-04-19 12:36:49,2026-04-19,Split,Prepared,Nizak,9.0,Umjeren,28.0,2026-04-20,0,Heat Advisory,Yes,"City services, Tourism stakeholders, Vulnerable citizens",Moderate heat-risk signal detected. Preventive communication and monitoring actions are recommended.,Yes,6,1,4
2026-04-19 12:36:49,2026-04-19,Šibenik,Prepared,Nizak,4.0,Umjeren,25.0,2026-04-21,0,Heat Advisory,Yes,"City services, Tourism stakeholders, Vulnerable citizens",Moderate heat-risk signal detected. Preventive communication and monitoring actions are recommended.,Yes,6,1,4
2026-04-19 12:36:49,2026-04-19,Rijeka,Monitoring,Nizak,24.0,Nizak,24.0,2026-04-19,0,Monitoring Notice,No,Internal monitoring,No immediate alert issuance required. Continue monitoring and maintain baseline readiness.,Yes,6,1,4
2026-04-19 12:36:49,2026-04-19,Zagreb,Monitoring,Nizak,19.0,Nizak,23.0,2026-04-25,0,Monitoring Notice,No,Internal monitoring,No immediate alert issuance required. Continue monitoring and maintain baseline readiness.,Yes,6,1,4
2026-04-19 12:36:49,2026-04-19,Osijek,Monitoring,Nizak,19.0,Nizak,19.0,2026-04-19,0,Monitoring Notice,No,Internal monitoring,No immediate alert issuance required. Continue monitoring and maintain baseline readiness.,Yes,6,1,4
2026-04-19 12:36:49,2026-04-19,Zadar,Monitoring,Nizak,19.0,Nizak,19.0,2026-04-19,0,Monitoring Notice,No,Internal monitoring,No immediate alert issuance required. Continue monitoring and maintain baseline readiness.,Yes,6,1,4
2026-04-19 12:36:49,2026-04-19,Dubrovnik,Monitoring,Nizak,5.0,Nizak,13.0,2026-04-20,0,Monitoring Notice,No,Internal monitoring,No immediate alert issuance required. Continue monitoring and maintain baseline readiness.,Yes,6,1,4
